"city, province_name",lat,lng,population,density
"Toronto, Ontario",43.7417,-79.3733,5429524,4334.4
"Montréal, Quebec",45.5089,-73.5617,3519595,3889.0
"Vancouver, British Columbia",49.2500,-123.1000,2264823,5492.6
"Calgary, Alberta",51.0500,-114.0667,1239220,1501.1
"Edmonton, Alberta",53.5344,-113.4903,1062643,1360.9
"Ottawa, Ontario",45.4247,-75.6950,989567,334.0
"Mississauga, Ontario",43.6000,-79.6500,721599,2467.6
"Winnipeg, Manitoba",49.8844,-97.1464,705244,1430.0
"Quebec City, Quebec",46.8139,-71.2081,705103,1173.2
"Hamilton, Ontario",43.2567,-79.8692,693645,480.6
"Brampton, Ontario",43.6833,-79.7667,593638,2228.7
"Surrey, British Columbia",49.1900,-122.8489,517887,1636.8
"Kitchener, Ontario",43.4186,-80.4728,470015,3433.5
"Laval, Quebec",45.5833,-73.7500,422993,1710.9
"Halifax, Nova Scotia",44.6475,-63.5906,403131,73.4
"London, Ontario",42.9836,-81.2497,383822,913.1
"Victoria, British Columbia",48.4283,-123.3647,335696,4406.3
"Markham, Ontario",43.8767,-79.2633,328966,1549.2
"St. Catharines, Ontario",43.1833,-79.2333,309319,1384.8
"Niagara Falls, Ontario",43.0600,-79.1067,308596,419.9
"Vaughan, Ontario",43.8333,-79.5000,306233,1119.4
"Gatineau, Quebec",45.4833,-75.6500,276245,773.7
"Windsor, Ontario",42.2833,-83.0000,276165,1484.3
"Saskatoon, Saskatchewan",52.1333,-106.6833,246376,1080.0
"Longueuil, Quebec",45.5333,-73.5167,239700,2002.0
"Burnaby, British Columbia",49.2667,-122.9667,232755,2568.7
"Regina, Saskatchewan",50.4547,-104.6067,215106,1195.2
"Richmond, British Columbia",49.1667,-123.1333,198309,1534.1
"Richmond Hill, Ontario",43.8667,-79.4333,195022,1928.8
"Oakville, Ontario",43.4500,-79.6833,193832,1314.2
"Burlington, Ontario",43.3167,-79.8000,183314,946.8
"Barrie, Ontario",44.3711,-79.6769,172657,1428.0
"Oshawa, Ontario",43.9000,-78.8500,166000,1027.0
"Sherbrooke, Quebec",45.4000,-71.9000,161323,456.0
"Saguenay, Quebec",48.4167,-71.0667,144746,128.5
"Lévis, Quebec",46.8000,-71.1833,143414,319.4
"Kelowna, British Columbia",49.8881,-119.4956,142146,601.3
"Abbotsford, British Columbia",49.0500,-122.3167,141397,376.5
"Coquitlam, British Columbia",49.2839,-122.7919,139284,1138.9
"Trois-Rivières, Quebec",46.3500,-72.5500,134413,1581.2
"Guelph, Ontario",43.5500,-80.2500,131794,1511.1
"Cambridge, Ontario",43.3972,-80.3114,129920,1149.6
"Whitby, Ontario",43.8833,-78.9417,128377,876.1
"Ajax, Ontario",43.8583,-79.0364,119677,1634.2
"Langley, British Columbia",49.1044,-122.5827,117285,380.8
"Saanich, British Columbia",48.4840,-123.3810,114148,1099.9
"Terrebonne, Quebec",45.7000,-73.6333,111575,687.1
"Milton, Ontario",43.5083,-79.8833,110128,230.11
"St. John's, Newfoundland and Labrador",47.4817,-52.7971,108860.00,244.10
"Moncton, New Brunswick",46.1328,-64.7714,108620,506.0
"Thunder Bay, Ontario",48.3822,-89.2461,107909,330.1
"Dieppe, New Brunswick",46.0989,-64.7242,107068,469.6
"Waterloo, Ontario",43.4667,-80.5167,104986,1520.7
"Delta, British Columbia",49.0847,-123.0586,102238,567.4
"Chatham, Ontario",42.4229,-82.1324,101647.00,41.40
"Red Deer, Alberta",52.2681,-113.8111,100418,958.8
"Kamloops, British Columbia",50.6761,-120.3408,100046,301.7
"Brantford, Ontario",43.1667,-80.2500,97496,1345.9
"Cape Breton, Nova Scotia",46.1389,-60.1931,94285,38.8
"Lethbridge, Alberta",49.6942,-112.8328,92729,759.5
"Saint-Jean-sur-Richelieu, Quebec",45.3167,-73.2667,92394,419.7
"Clarington, Ontario",43.9350,-78.6083,92013,138.3
"Pickering, Ontario",43.8354,-79.0890,91771,383.1
"Nanaimo, British Columbia",49.1642,-123.9364,90504,918.0
"Sudbury, Ontario",46.4900,-81.0100,88054,49.7
"North Vancouver, British Columbia",49.3641,-123.0066,85935.00,534.60
"Brossard, Quebec",45.4667,-73.4500,85721,1896.0
"Repentigny, Quebec",45.7333,-73.4667,84965,1395.4
"Newmarket, Ontario",44.0500,-79.4667,84224,2190.5
"Chilliwack, British Columbia",49.1577,-121.9509,83788,320.2
"White Rock, British Columbia",49.0250,-122.8028,82368,3893.1
"Maple Ridge, British Columbia",49.2167,-122.6000,82256,308.3
"Peterborough, Ontario",44.3000,-78.3167,82094,1261.2
"Kawartha Lakes, Ontario",44.3500,-78.7500,75423,24.5
"Prince George, British Columbia",53.9169,-122.7494,74003,232.5
"Sault Ste. Marie, Ontario",46.5333,-84.3500,73368,328.6
"Sarnia, Ontario",42.9994,-82.3089,71594,434.3
"Wood Buffalo, Alberta",57.6042,-111.3284,71589.00,1.20
"New Westminster, British Columbia",49.2069,-122.9111,70996,4543.4
"Châteauguay, Quebec",45.3800,-73.7500,70812,1278.9
"Saint-Jérôme, Quebec",45.7833,-74.0000,69598,756.3
"Drummondville, Quebec",45.8833,-72.4833,68601,1315.4
"Saint John, New Brunswick",45.2806,-66.0761,67575,213.8
"Caledon, Ontario",43.8667,-79.8667,66502,96.6
"St. Albert, Alberta",53.6303,-113.6258,65589,1353.9
"Granby, Quebec",45.4000,-72.7333,63433,415.3
"Medicine Hat, Alberta",50.0417,-110.6775,63260,564.6
"Grande Prairie, Alberta",55.1708,-118.7947,63166,475.9
"St. Thomas, Ontario",42.7750,-81.1833,61707,1067.3
"Airdrie, Alberta",51.2917,-114.0144,61581,728.2
"Halton Hills, Ontario",43.6300,-79.9500,61161,221.4
"Saint-Hyacinthe, Quebec",45.6167,-72.9500,59614,294.5
"Lac-Brome, Quebec",45.2167,-72.5167,58889,27.3
"Port Coquitlam, British Columbia",49.2625,-122.7811,58612,2009.4
"Fredericton, New Brunswick",45.9636,-66.6431,58220,439.2
"Blainville, Quebec",45.6700,-73.8800,56363,1030.9
"Aurora, Ontario",44.0000,-79.4667,55445,1112.3
"Welland, Ontario",42.9833,-79.2333,52293,645.3
"North Bay, Ontario",46.3000,-79.4500,51553,161.6
"Beloeil, Quebec",45.5667,-73.2000,50796,862.8
"Belleville, Ontario",44.1667,-77.3833,50716,205.1
"Mirabel, Quebec",45.6500,-74.0833,50513,104.1
"Shawinigan, Quebec",46.5667,-72.7500,50060,68.2
"Dollard-des-Ormeaux, Quebec",45.4833,-73.8167,49637,3286.7
"Brandon, Manitoba",49.8483,-99.9500,48859,599.1
"Rimouski, Quebec",48.4500,-68.5300,48664,143.3
"Cornwall, Ontario",45.0275,-74.7400,46589,756.8
"Stouffville, Ontario",43.9667,-79.2500,45837,222.3
"Georgina, Ontario",44.3000,-79.4333,45418,157.8
"Victoriaville, Quebec",46.0500,-71.9667,45309,516.2
"Vernon, British Columbia",50.2670,-119.2720,44600,417.7
"Duncan, British Columbia",48.7787,-123.7079,44451,2387.1
"Saint-Eustache, Quebec",45.5700,-73.9000,44154,634.3
"Quinte West, Ontario",44.1833,-77.5667,43577,88.2
"Charlottetown, Prince Edward Island",46.2403,-63.1347,42602,779.7
"Mascouche, Quebec",45.7500,-73.6000,42491,398.4
"West Vancouver, British Columbia",49.3667,-123.1667,42473,486.8
"Salaberry-de-Valleyfield, Quebec",45.2500,-74.1300,42410,395.5
"Rouyn-Noranda, Quebec",48.2333,-79.0167,42334,7.0
"Timmins, Ontario",48.4667,-81.3333,41788,14.0
"Sorel-Tracy, Quebec",46.0333,-73.1167,41629,241.1
"New Tecumseth, Ontario",44.0833,-79.7500,41439,151.1
"Woodstock, Ontario",43.1306,-80.7467,40902,835.3
"Boucherville, Quebec",45.6000,-73.4500,40753,575.5
"Mission, British Columbia",49.1337,-122.3112,38833,170.6
"Vaudreuil-Dorion, Quebec",45.4000,-74.0333,38117,524.1
"Brant, Ontario",43.1167,-80.3667,36707,43.5
"Lakeshore, Ontario",42.2399,-82.6511,36611.00,69.00
"Innisfil, Ontario",44.3000,-79.5833,36566,139.2
"Prince Albert, Saskatchewan",53.2000,-105.7500,35926,534.4
"Langford Station, British Columbia",48.4506,-123.5058,35342,885.0
"Bradford West Gwillimbury, Ontario",44.1333,-79.6333,35325,175.7
"Campbell River, British Columbia",50.0244,-125.2475,35138,1143.9
"Spruce Grove, Alberta",53.5450,-113.9008,34066,1057.9
"Moose Jaw, Saskatchewan",50.3933,-105.5519,33890,710.7
"Penticton, British Columbia",49.4911,-119.5886,33761,801.8
"Port Moody, British Columbia",49.2831,-122.8317,33551,1295.9
"Leamington, Ontario",42.0667,-82.5833,32991,105.3
"East Kelowna, British Columbia",49.8625,-119.5833,32655,264.4
"Côte-Saint-Luc, Quebec",45.4687,-73.6673,32448.00,4662.50
"Val-d’Or, Quebec",48.1000,-77.7833,31862,9.0
"Owen Sound, Ontario",44.5667,-80.9333,31820,1311.1
"Stratford, Ontario",43.3708,-80.9819,31465,1167.5
"Lloydminster, Saskatchewan",53.2783,-110.0050,31410,742.2
"Pointe-Claire, Quebec",45.4500,-73.8167,31380,1662.0
"Orillia, Ontario",44.6000,-79.4167,31166,1090.3
"Alma, Quebec",48.5500,-71.6500,30904,158.0
"Orangeville, Ontario",43.9167,-80.1167,30734,69.3
"Fort Erie, Ontario",42.9167,-79.0167,30710,184.7
"LaSalle, Ontario",42.2167,-83.0667,30180,461.8
"Sainte-Julie, Quebec",45.5833,-73.3333,30104,607.8
"Leduc, Alberta",53.2594,-113.5492,29993,706.7
"North Cowichan, British Columbia",48.8236,-123.7192,29676,147.3
"Chambly, Quebec",45.4311,-73.2873,29120.00,1158.70
"Okotoks, Alberta",50.7250,-113.9750,28881,1471.0
"Sept-Îles, Quebec",50.2167,-66.3833,28534,16.1
"Centre Wellington, Ontario",43.7000,-80.3667,28191,69.2
"Saint-Constant, Quebec",45.3700,-73.5700,27359,478.9
"Grimsby, Ontario",43.2000,-79.5500,27314,396.3
"Boisbriand, Quebec",45.6200,-73.8300,26884,966.5
"Conception Bay South, Newfoundland and Labrador",47.5167,-52.9833,26199,443.3
"Saint-Bruno-de-Montarville, Quebec",45.5333,-73.3500,26107,603.3
"Sainte-Thérèse, Quebec",45.6333,-73.8500,26025,2716.1
"Cochrane, Alberta",51.1890,-114.4670,25853,866.7
"Thetford Mines, Quebec",46.1000,-71.3000,25709,113.3
"Courtenay, British Columbia",49.6878,-124.9944,25599,789.9
"Magog, Quebec",45.2667,-72.1500,25358,175.9
"Whitehorse, Yukon",60.7029,-135.0691,25085.00,60.20
"Woolwich, Ontario",43.5667,-80.4833,25006,76.7
"Clarence-Rockland, Ontario",45.4833,-75.2000,24512,82.3
"Fort Saskatchewan, Alberta",53.7128,-113.2133,24149,501.3
"East Gwillimbury, Ontario",44.1333,-79.4167,23991,97.9
"Lincoln, Ontario",43.1300,-79.4300,23787,146.1
"La Prairie, Quebec",45.4200,-73.5000,23357,539.7
"Tecumseh, Ontario",42.2431,-82.9256,23229,245.4
"Mount Pearl Park, Newfoundland and Labrador",47.5189,-52.8058,22957,1456.8
"Amherstburg, Ontario",42.1000,-83.0833,21936,118.2
"Saint-Lambert, Quebec",45.5000,-73.5167,21861,2880.6
"Brockville, Ontario",44.5833,-75.6833,21854,1167.8
"Collingwood, Ontario",44.5000,-80.2167,21793,645.1
"Scugog, Ontario",44.0900,-78.9360,21617,45.4
"Kingsville, Ontario",42.1000,-82.7167,21552,87.3
"Baie-Comeau, Quebec",49.2167,-68.1500,21536,64.0
"Paradise, Newfoundland and Labrador",47.5333,-52.8667,21389,731.5
"Uxbridge, Ontario",44.1167,-79.1333,21176,45.6
"Essa, Ontario",44.2500,-79.7833,21083,75.3
"Candiac, Quebec",45.3800,-73.5200,21047,1215.8
"Oro-Medonte, Ontario",44.5667,-79.5833,21036,35.8
"Varennes, Quebec",45.6833,-73.4333,20994,226.9
"Strathroy-Caradoc, Ontario",42.9575,-81.6167,20867,77.1
"Wasaga Beach, Ontario",44.5206,-80.0167,20675,352.6
"New Glasgow, Nova Scotia",45.5926,-62.6455,20609,911.6
"Wilmot, Ontario",43.4000,-80.6500,20545,77.9
"Essex, Ontario",42.0833,-82.9000,20427,73.5
"Fort St. John, British Columbia",56.2465,-120.8476,20155,820.2
"Kirkland, Quebec",45.4500,-73.8667,20151,2204.4
"L’Assomption, Quebec",45.8333,-73.4167,20065,202.9
"Westmount, Quebec",45.4833,-73.6000,19931,4952.8
"Saint-Lazare, Quebec",45.4000,-74.1333,19889,289.6
"Chestermere, Alberta",51.0500,-113.8225,19887,603.8
"Huntsville, Ontario",45.3333,-79.2167,19816,27.9
"Corner Brook, Newfoundland and Labrador",48.9287,-57.9260,19806.00,133.60
"Riverview, New Brunswick",46.0613,-64.8052,19667,554.8
"Lloydminster, Alberta",53.2807,-110.0350,19645.00,817.30
"Joliette, Quebec",46.0167,-73.4500,19621,860.3
"Yellowknife, Northwest Territories",62.4709,-114.4053,19569.00,185.50
"Squamish, British Columbia",49.7017,-123.1589,19512,186.1
"Mont-Royal, Quebec",45.5161,-73.6431,19503,2545.3
"Rivière-du-Loup, Quebec",47.8333,-69.5333,19447,230.9
"Cobourg, Ontario",43.9667,-78.1667,19440,869.3
"Cranbrook, British Columbia",49.5097,-115.7667,19259,604.7
"Beaconsfield, Quebec",45.4333,-73.8667,19115,1752.6
"Springwater, Ontario",44.4333,-79.7333,19059,35.5
"Dorval, Quebec",45.4500,-73.7500,18980,839.2
"Thorold, Ontario",43.1167,-79.2000,18801,226.5
"Camrose, Alberta",53.0167,-112.8333,18742,439.8
"South Frontenac, Ontario",44.5081,-76.4939,18646,19.2
"Pitt Meadows, British Columbia",49.2333,-122.6833,18573,214.7
"Port Colborne, Ontario",42.8833,-79.2500,18306,150.1
"Quispamsis, New Brunswick",45.4322,-65.9462,18245,318.9
"Mont-Saint-Hilaire, Quebec",45.5622,-73.1917,18200,410.9
"Bathurst, New Brunswick",47.6200,-65.6500,18154,129.3
"Saint-Augustin-de-Desmaures, Quebec",46.7333,-71.4667,18141,211.5
"Oak Bay, British Columbia",48.4264,-123.3228,18094,1717.7
"Sainte-Marthe-sur-le-Lac, Quebec",45.5300,-73.9300,18074,2066.7
"Salmon Arm, British Columbia",50.7022,-119.2722,17706,144.0
"Port Alberni, British Columbia",49.2339,-124.8050,17678,894.6
"Esquimalt, British Columbia",48.4306,-123.4147,17655,2494.7
"Deux-Montagnes, Quebec",45.5333,-73.8833,17553,2850.1
"Miramichi, New Brunswick",47.0196,-65.5072,17537.00,97.70
"Niagara-on-the-Lake, Ontario",43.2553,-79.0717,17511,131.8
"Saint-Lin--Laurentides, Quebec",45.8500,-73.7667,17463,147.3
"Beaumont, Alberta",53.3572,-113.4147,17396,1661.1
"Middlesex Centre, Ontario",43.0500,-81.4500,17262,29.4
"Inverness, Nova Scotia",46.2000,-61.1000,17235,4.5
"Stony Plain, Alberta",53.5264,-114.0069,17189,481.2
"Petawawa, Ontario",45.9000,-77.2833,17187,103.1
"Pelham, Ontario",43.0333,-79.3333,17110,135.3
"Selwyn, Ontario",44.4167,-78.3333,17060,54.0
"Loyalist, Ontario",44.2500,-76.7500,16971,49.8
"Midland, Ontario",44.7500,-79.8833,16864,477.3
"Colwood, British Columbia",48.4236,-123.4958,16859,954.2
"Central Saanich, British Columbia",48.5142,-123.3839,16814,406.8
"Sainte-Catherine, Quebec",45.4000,-73.5800,16762,1764.1
"Port Hope, Ontario",43.9500,-78.3000,16753,60.1
"L’Ancienne-Lorette, Quebec",46.8000,-71.3500,16745,2193.6
"Saint-Basile-le-Grand, Quebec",45.5333,-73.2833,16736,463.6
"Swift Current, Saskatchewan",50.2881,-107.7939,16604,566.5
"Edmundston, New Brunswick",47.3765,-68.3253,16580,155.2
"Russell, Ontario",45.2569,-75.3583,16520,83.0
"North Grenville, Ontario",44.9667,-75.6500,16451,46.7
"Yorkton, Saskatchewan",51.2139,-102.4628,16343,449.9
"Tracadie, New Brunswick",47.5124,-64.9101,16114.00,31.20
"Bracebridge, Ontario",45.0333,-79.3000,16010,25.5
"Greater Napanee, Ontario",44.2500,-76.9500,15892,34.5
"Tillsonburg, Ontario",42.8667,-80.7333,15872,710.8
"Steinbach, Manitoba",49.5258,-96.6839,15829,618.6
"Hanover, Manitoba",49.4433,-96.8492,15733,21.2
"Terrace, British Columbia",54.5164,-128.5997,15723,212.7
"Springfield, Manitoba",49.9292,-96.6939,15342,13.9
"Gaspé, Quebec",48.8333,-64.4833,15163,13.5
"Kenora, Ontario",49.7667,-94.4833,15096,71.3
"Cold Lake, Alberta",54.4642,-110.1825,14961,249.7
"Summerside, Prince Edward Island",46.4000,-63.7833,14829,520.5
"Comox, British Columbia",49.6733,-124.9022,14828,838.2
"Sylvan Lake, Alberta",52.3083,-114.0964,14816,634.2
"Pincourt, Quebec",45.3833,-73.9833,14558,2048.1
"West Lincoln, Ontario",43.0667,-79.5667,14500,37.4
"Matane, Quebec",48.8500,-67.5333,14462,74.0
"Brooks, Alberta",50.5642,-111.8989,14451,777.3
"Sainte-Anne-des-Plaines, Quebec",45.7617,-73.8204,14421.00,154.10
"West Nipissing / Nipissing Ouest, Ontario",46.3667,-79.9167,14364,7.2
"Rosemère, Quebec",45.6369,-73.8000,14294,1326.9
"Mistassini, Quebec",48.8229,-72.2154,14250.00,48.20
"Grand Falls, Newfoundland and Labrador",48.9578,-55.6633,14171.00,259.20
"Clearview, Ontario",44.3981,-80.0742,14151,25.4
"St. Clair, Ontario",42.7833,-82.3500,14086,22.8
"Canmore, Alberta",51.0890,-115.3590,13992,201.5
"North Battleford, Saskatchewan",52.7575,-108.2861,13888,414.0
"Pembroke, Ontario",45.8167,-77.1000,13882,953.3
"Mont-Laurier, Quebec",46.5500,-75.5000,13779,23.3
"Strathmore, Alberta",51.0378,-113.4003,13756,502.0
"Saugeen Shores, Ontario",44.4333,-81.3667,13715,80.2
"Thompson, Manitoba",55.7433,-97.8553,13678,657.91
"Lavaltrie, Quebec",45.8833,-73.2833,13657,199.7
"High River, Alberta",50.5808,-113.8744,13584,635.1
"Severn, Ontario",44.7500,-79.5167,13477,24.5
"Sainte-Sophie, Quebec",45.8200,-73.9000,13375,120.2
"Saint-Charles-Borromée, Quebec",46.0500,-73.4667,13321,715.0
"Portage La Prairie, Manitoba",49.9728,-98.2919,13304,539.1
"Thames Centre, Ontario",43.0300,-81.0800,13191,30.4
"Mississippi Mills, Ontario",45.2167,-76.2000,13163,25.3
"Powell River, British Columbia",49.8353,-124.5247,13157,444.1
"South Glengarry, Ontario",45.2000,-74.5833,13150,21.7
"North Perth, Ontario",43.7300,-80.9500,13130,26.6
"Mercier, Quebec",45.3200,-73.7500,13115,284.6
"South Stormont, Ontario",45.0833,-74.9667,13110,28.2
"Saint-Colomban, Quebec",45.7300,-74.1300,13080,139.8
"Lacombe, Alberta",52.4683,-113.7369,13057,627.5
"Sooke, British Columbia",48.3761,-123.7378,13001,229.6
"Dawson Creek, British Columbia",55.7606,-120.2356,12978,475.4
"Lake Country, British Columbia",50.0833,-119.4142,12922,105.8
"Trent Hills, Ontario",44.3142,-77.8514,12900,25.2
"Sainte-Marie, Quebec",46.4500,-71.0333,12889,120.3
"Guelph/Eramosa, Ontario",43.6300,-80.2200,12854,44.1
"Truro, Nova Scotia",45.3647,-63.2800,12826,355.5
"Amos, Quebec",48.5667,-78.1167,12823,29.8
"The Nation / La Nation, Ontario",45.3500,-75.0333,12808,19.5
"Ingersoll, Ontario",43.0392,-80.8836,12757,1000.7
"Winkler, Manitoba",49.1817,-97.9397,12660,740.5
"Wetaskiwin, Alberta",52.9694,-113.3769,12655,691.1
"Central Elgin, Ontario",42.7667,-81.1000,12607,45.0
"Lachute, Quebec",45.6500,-74.3333,12551,114.9
"West Grey, Ontario",44.1833,-80.8167,12518,14.3
"Parksville, British Columbia",49.3150,-124.3120,12514,854.6
"Cowansville, Quebec",45.2000,-72.7500,12489,271.0
"Bécancour, Quebec",46.3333,-72.4333,12438,28.2
"Gravenhurst, Ontario",44.9167,-79.3667,12311,23.8
"Perth East, Ontario",43.4700,-80.9500,12261,17.2
"Prince Rupert, British Columbia",54.3122,-130.3271,12220,227.7
"Prévost, Quebec",45.8700,-74.0800,12171,347.2
"Sainte-Adèle, Quebec",45.9500,-74.1300,12137,100.4
"Kentville, Nova Scotia",45.0775,-64.4958,12088,363.3
"Beauharnois, Quebec",45.3200,-73.8700,12011,173.9
"Les Îles-de-la-Madeleine, Quebec",47.3833,-61.8667,12010,69.5
"Wellington North, Ontario",43.9000,-80.5700,11914,22.6
"St. Andrews, Manitoba",50.2700,-96.9747,11913,15.8
"Carleton Place, Ontario",45.1333,-76.1333,11901,1176.2
"Whistler, British Columbia",50.1208,-122.9544,11854,49.3
"Brighton, Ontario",44.1222,-77.7642,11844,43.2
"Tiny, Ontario",44.6833,-79.9500,11787,35.0
"Gander, Newfoundland and Labrador",48.9569,-54.6089,11688,112.1
"Sidney, British Columbia",48.6506,-123.3986,11672,2290.7
"Rothesay, New Brunswick",45.3831,-65.9969,11659,335.8
"Brock, Ontario",44.3167,-79.0833,11642,27.5
"Summerland, British Columbia",49.6006,-119.6778,11615,156.8
"Val-des-Monts, Quebec",45.6500,-75.6667,11582,26.2
"Taché, Manitoba",49.7081,-96.6736,11568,19.9
"Montmagny, Quebec",46.9833,-70.5500,11491,91.1
"Erin, Ontario",43.7667,-80.0667,11439,38.4
"Kincardine, Ontario",44.1667,-81.6333,11389,21.2
"North Dundas, Ontario",45.0833,-75.3500,11278,22.4
"Wellesley, Ontario",43.5500,-80.7167,11260,40.5
"Estevan, Saskatchewan",49.1392,-102.9861,11258,586.6
"North Saanich, British Columbia",48.6142,-123.4200,11249,301.8
"Warman, Saskatchewan",52.3219,-106.5842,11020,844.6
"La Tuque, Quebec",48.0652,-74.0528,11001.00,0.40
"Norwich, Ontario",42.9833,-80.6000,11001,25.5
