city,lat,lng,country,iso2,admin,capital,population,population_proper
Seoul,37.5985,126.9783,"Korea, South",KR,Seoul,primary,9796000,9796000
Busan,35.102778,129.040278,"Korea, South",KR,Busan,admin,3480000,3480000
Incheon,37.453611,126.731667,"Korea, South",KR,Incheon,admin,2550000,2550000
Daegu,35.870278,128.591111,"Korea, South",KR,Daegu,admin,2460000,2460000
Yejŏng,36.333333,127.383333,"Korea, South",KR,Daejeon,,1468000,1448330
Gwangju,35.154722,126.915556,"Korea, South",KR,Gwangju,admin,1440000,1416938
Kumasan,35.2,128.583333,"Korea, South",KR,Gyeongnam,,1081499,1081499
Suwŏn,37.291111,127.008889,"Korea, South",KR,Gyeonggi,,1078000,1078000
Ulsan,35.537222,129.316667,"Korea, South",KR,Ulsan,admin,1061000,962865
Song-mal,37.418611,127.132778,"Korea, South",KR,Gyeonggi,,942000,1031935
Goyang,37.656389,126.835,"Korea, South",KR,Gyeonggi,minor,903000,903000
Bucheon,37.498889,126.783056,"Korea, South",KR,Gyeonggi,minor,866000,866000
Cheongju,36.635346,127.46781,"Korea, South",KR,Chungbuk,admin,775096,663745
Ansan,37.323611,126.821944,"Korea, South",KR,Gyeonggi,,739493,650728
Jeonju,35.821945,127.148889,"Korea, South",KR,Jeonbuk,admin,711424,648473
Pohang,36.029168,129.364812,"Korea, South",KR,Gyeongbuk,minor,435266,435266
Jeju,33.509722,126.521944,"Korea, South",KR,Jeju,admin,408364,314152
Yŏsu,34.744167,127.737778,"Korea, South",KR,Jeonnam,,341994,262290
Iksan,35.943889,126.954444,"Korea, South",KR,Jeonbuk,,283501,239589
Tŏkho,34.764444,126.388056,"Korea, South",KR,Jeonnam,,268402,260018
Kunsan,35.978611,126.711389,"Korea, South",KR,Jeonbuk,,244080,243406
Wŏnju,37.351389,127.945278,"Korea, South",KR,Gangwon,,243387,238409
Sinchon,37.887254,127.703711,"Korea, South",KR,Gangwon,,226509,209746
Kangnŭng,37.755556,128.896111,"Korea, South",KR,Gangwon,,180611,166983
Kyŏngju,35.842778,129.211667,"Korea, South",KR,Gyeongbuk,,155237,142468
Andong,36.566355,128.722745,"Korea, South",KR,Gyeongbuk,minor,129319,118522
Seongcheon,38.226777,128.546196,"Korea, South",KR,Gangwon,,85430,85430
Eumseong,36.935278,127.689722,"Korea, South",KR,Chungbuk,,10077,10077
Oepo,34.940362,128.716654,"Korea, South",KR,Gyeongnam,minor,,
Onam,37.698335,127.205785,"Korea, South",KR,Gyeonggi,minor,,
Chuncheon,37.874722,127.734167,"Korea, South",KR,Gangwon,admin,,
Gampo,35.805376,129.501098,"Korea, South",KR,Gyeongbuk,minor,,
Gijang,35.244167,129.213889,"Korea, South",KR,Busan,minor,,
Haean,38.286344,128.137738,"Korea, South",KR,Gangwon,minor,,
Songhae,37.7636,126.465774,"Korea, South",KR,Gyeonggi,minor,,
Sokcho,38.207009,128.591812,"Korea, South",KR,Gangwon,minor,,
Hyeonpung,35.695573,128.446076,"Korea, South",KR,Daegu,minor,,
Cheorwon,38.209167,127.2175,"Korea, South",KR,Gangwon,minor,,
Hongcheon,37.692557,127.887307,"Korea, South",KR,Gangwon,minor,,
Guryongpo,35.989945,129.553774,"Korea, South",KR,Gyeongbuk,minor,,
Yeonsan,36.213758,127.200039,"Korea, South",KR,Chungnam,minor,,
Sinseo,38.185615,127.10819,"Korea, South",KR,Gyeonggi,minor,,
Dongmyeon,38.201347,128.043266,"Korea, South",KR,Gangwon,minor,,
Yeongdeok,36.41366,129.369996,"Korea, South",KR,Gyeongbuk,minor,,
Ganghwa,37.747222,126.485556,"Korea, South",KR,Incheon,minor,,
Wolgot,37.716456,126.554289,"Korea, South",KR,Gyeonggi,minor,,
Su-dong,37.703532,127.3258,"Korea, South",KR,Gyeonggi,minor,,
Haseong,37.719529,126.631066,"Korea, South",KR,Gyeonggi,minor,,
Daejeon,36.321389,127.419722,"Korea, South",KR,Daejeon,admin,,
Hajeom,37.774191,126.412264,"Korea, South",KR,Incheon,minor,,
Bangsan,38.2088,127.950279,"Korea, South",KR,Gangwon,minor,,
Yangsan,35.341995,129.033583,"Korea, South",KR,Gyeongnam,minor,,
Toseong,38.256793,128.559684,"Korea, South",KR,Gangwon,minor,,
Jangheung,37.717272,126.941218,"Korea, South",KR,Gyeonggi,minor,,
Naju,35.029197,126.7175,"Korea, South",KR,Jeonnam,minor,,
Hwasun,35.061253,126.987458,"Korea, South",KR,Jeonnam,minor,,
Gwangtan,37.78055,126.850043,"Korea, South",KR,Gyeonggi,minor,,
Gyodong,37.782715,126.281167,"Korea, South",KR,Incheon,minor,,
Cheongpyeong,37.7355,127.4174,"Korea, South",KR,Gyeonggi,minor,,
Jangseong,35.297778,126.784444,"Korea, South",KR,Jeonnam,minor,,
Singwang,36.129107,129.263602,"Korea, South",KR,Gyeongbuk,minor,,
Yecheon,36.657404,128.45514,"Korea, South",KR,Gyeongbuk,minor,,
Damyang,35.318889,126.983889,"Korea, South",KR,Jeonnam,minor,,
Yangsa,37.79872,126.407998,"Korea, South",KR,Incheon,minor,,
Samsan,37.703062,126.321364,"Korea, South",KR,Incheon,minor,,
Hwacheon,38.10705,127.706321,"Korea, South",KR,Gangwon,minor,,
Ilgwang,35.264002,129.233491,"Korea, South",KR,Busan,minor,,
Heunghae,36.109446,129.345174,"Korea, South",KR,Gyeongbuk,minor,,
Seonwon,37.71223,126.484391,"Korea, South",KR,Incheon,minor,,
Daehap,35.613654,128.471654,"Korea, South",KR,Gyeongnam,minor,,
Jinjeop,37.727222,127.189924,"Korea, South",KR,Gyeonggi,minor,,
Ocheon,35.970462,129.412221,"Korea, South",KR,Gyeongbuk,minor,,
Seoseok,37.711899,128.187125,"Korea, South",KR,Gangwon,minor,,
Beobwon,37.849015,126.875333,"Korea, South",KR,Gyeonggi,minor,,
Gwanin,38.159212,127.249349,"Korea, South",KR,Gangwon,minor,,
Cheongha,36.197965,129.339108,"Korea, South",KR,Gyeongbuk,minor,,
Sindong,37.817347,127.716564,"Korea, South",KR,Gangwon,minor,,
Yeoncheon,38.101132,127.077272,"Korea, South",KR,Gyeonggi,minor,,
Mungyeong,36.735278,128.108333,"Korea, South",KR,Gyeongbuk,minor,,
Changpyeong,35.239035,127.017924,"Korea, South",KR,Jeonnam,minor,,
Jeongok,38.025955,127.070213,"Korea, South",KR,Gyeonggi,minor,,
Dongnae,37.847474,127.761639,"Korea, South",KR,Gangwon,minor,,
Gimpo,37.620005,126.718139,"Korea, South",KR,Gyeonggi,minor,,
Gwangjeok,37.825663,126.983491,"Korea, South",KR,Gyeonggi,minor,,
Tanhyeon,37.802402,126.715976,"Korea, South",KR,Gyeonggi,minor,,
Paju,37.832778,126.816944,"Korea, South",KR,Gyeonggi,minor,,
Changwon,35.228056,128.681111,"Korea, South",KR,Gyeongnam,admin,,
Hancheolli,34.97411,127.000284,"Korea, South",KR,Jeonnam,minor,,
Waegwan,35.992512,128.397851,"Korea, South",KR,Gyeongbuk,minor,,
Pocheon,37.89444,127.19917,"Korea, South",KR,Gyeonggi,minor,,
Jangan,35.312958,129.242435,"Korea, South",KR,Busan,minor,,
Tongjin,37.691913,126.59855,"Korea, South",KR,Gyeonggi,minor,,
Dongnae,35.201585,129.084766,"Korea, South",KR,Busan,minor,,
